id,correctAnswer
102501,A
102502,D
102503,B
102504,C
102505,A
102506,B
102507,B
102508,A
102509,C
102510,C
102511,A
102512,C
102513,D
102514,D
102515,A
102516,A
102517,A
102518,A
102519,B
102520,A
102521,B
102522,B
102523,A
102524,B
102525,A
102526,D
102527,C
102528,D
102529,D
102530,C
102531,A
102532,C
102533,C
102534,B
102535,A
102536,D
102537,B
102538,A
102539,D
102540,A
102541,C
102542,A
102543,B
102544,B
102545,C
102546,B
102547,B
102548,B
102549,C
102550,B
102551,C
102552,B
102553,A
102554,D
102555,B
102556,A
102557,C
102558,D
102559,D
102560,A
102561,A
102562,D
102563,B
102564,A
102565,C
102566,B
102567,B
102568,A
102569,D
102570,D
102571,C
102572,D
102573,D
102574,B
102575,D
102576,D
102577,A
102578,A
102579,D
102580,D
102581,D
102582,D
102583,C
102584,C
102585,A
102586,B
102587,C
102588,B
102589,A
102590,D
102591,B
102592,D
102593,C
102594,B
102595,B
102596,B
102597,C
102598,C
102599,A
102600,D
102601,C
102602,C
102603,D
102604,A
102605,D
102606,A
102607,C
102608,C
102609,D
102610,C
102611,B
102612,C
102613,D
102614,D
102615,D
102616,C
102617,B
102618,D
102619,A
102620,A
102621,B
102622,A
102623,B
102624,B
102625,B
102626,C
102627,D
102628,C
102629,A
102630,A
102631,A
102632,B
102633,A
102634,A
102635,C
102636,B
102637,B
102638,D
102639,B
102640,B
102641,A
102642,A
102643,C
102644,B
102645,A
102646,C
102647,D
102648,B
102649,B
102650,D
102651,D
102652,C
102653,D
102654,D
102655,C
102656,B
102657,D
102658,C
102659,D
102660,C
102661,A
102662,B
102663,C
102664,C
102665,D
102666,C
102667,B
102668,C
102669,C
102670,B
102671,C
102672,C
102673,D
102674,C
102675,D
102676,A
102677,C
102678,D
102679,A
102680,D
102681,B
102682,C
102683,B
102684,D
102685,C
102686,C
102687,A
102688,A
102689,D
102690,D
102691,D
102692,C
102693,B
102694,A
102695,B
102696,A
102697,A
102698,A
102699,A
102700,A
102701,B
102702,D
102703,C
102704,C
102705,B
102706,C
102707,C
102708,C
102709,A
102710,B
102711,C
102712,C
102713,A
102714,D
102715,C
102716,A
102717,C
102718,B
102719,A
102720,B
102721,C
102722,B
102723,D
102724,A
102725,C
102726,C
102727,D
102728,A
102729,C
102730,B
102731,A
102732,D
102733,C
102734,B
102735,A
102736,D
102737,C
102738,C
102739,A
102740,B
102741,A
102742,B
102743,B
102744,C
102745,C
102746,B
102747,D
102748,B
102749,D
102750,A
102751,B
102752,A
102753,C
102754,A
102755,D
102756,A
102757,B
102758,D
102759,C
102760,D
102761,A
102762,D
102763,C
102764,C
102765,C
102766,D
102767,C
102768,C
102769,A
102770,D
102771,D
102772,B
102773,C
102774,C
102775,A
102776,D
102777,B
102778,C
102779,C
102780,B
102781,A
102782,B
102783,A
102784,A
102785,A
102786,B
102787,B
102788,A
102789,D
102790,C
102791,C
102792,C
102793,D
102794,C
102795,B
102796,A
102797,B
102798,A
102799,D
102800,B
102801,A
102802,A
102803,D
102804,A
102805,A
102806,D
102807,D
102808,B
102809,D
102810,D
102811,C
102812,A
102813,A
102814,D
102815,A
102816,C
102817,D
102818,B
102819,D
102820,B
102821,B
102822,B
102823,B
102824,B
102825,B
102826,C
102827,B
102828,C
102829,A
102830,A
102831,A
102832,A
102833,D
102834,A
102835,A
102836,D
102837,C
102838,B
102839,A
102840,B
102841,D
102842,B
102843,A
102844,D
102845,B
102846,A
102847,D
102848,A
102849,C
102850,B
102851,D
102852,A
102853,A
102854,C
102855,A
102856,D
102857,A
102858,D
102859,D
102860,B
102861,A
102862,D
102863,B
102864,B
102865,D
102866,A
102867,C
102868,C
102869,D
102870,A
102871,A
102872,D
102873,D
102874,A
102875,D
102876,D
102877,B
102878,C
102879,A
102880,B
102881,D
102882,C
102883,B
102884,A
102885,A
102886,D
102887,B
102888,D
102889,C
102890,D
102891,D
102892,B
102893,B
102894,C
102895,C
102896,D
102897,D
102898,C
102899,D
102900,A
102901,A
102902,C
102903,A
102904,A
102905,B
102906,D
102907,B
102908,A
102909,D
102910,A
102911,C
102912,D
102913,B
102914,B
102915,D
102916,A
102917,C
102918,C
102919,C
102920,B
102921,D
102922,C
102923,A
102924,B
102925,C
102926,D
102927,C
102928,A
102929,D
102930,A
102931,A
102932,D
102933,C
102934,A
102935,D
102936,C
102937,A
102938,B
102939,B
102940,B
102941,A
102942,B
102943,B
102944,A
102945,D
102946,D
102947,D
102948,B
102949,C
102950,D
102951,B
102952,D
102953,D
102954,D
102955,A
102956,B
102957,A
102958,B
102959,B
102960,A
102961,A
102962,D
102963,B
102964,A
102965,A
102966,C
102967,A
102968,D
102969,B
102970,C
102971,A
102972,C
102973,D
102974,D
102975,A
102976,B
102977,A
102978,A
102979,B
102980,A
102981,D
102982,B
102983,D
102984,B
102985,D
102986,B
102987,D
102988,D
102989,B
102990,C
102991,A
102992,A
102993,C
102994,C
102995,A
102996,B
102997,D
102998,D
102999,A
103000,D
103001,C
103002,D
103003,D
103004,A
103005,C
103006,C
103007,C
103008,A
103009,D
103010,C
103011,D
103012,B
103013,C
103014,A
103015,B
103016,A
103017,C
103018,C
103019,D
103020,B
103021,D
103022,D
103023,C
103024,D
103025,C
103026,A
103027,C
103028,B
103029,A
103030,D
103031,C
103032,A
103033,C
103034,A
103035,D
103036,C
103037,B
103038,B
103039,C
103040,C
103041,B
103042,D
103043,C
103044,C
103045,C
103046,A
103047,C
103048,A
103049,A
103050,A
103051,C
103052,A
103053,D
103054,A
103055,D
103056,C
103057,A
103058,B
103059,C
103060,D
103061,C
103062,C
103063,C
103064,D
103065,A
103066,A
103067,B
103068,A
103069,B
103070,B
103071,D
103072,C
103073,B
103074,C
103075,D
103076,A
103077,A
103078,C
103079,A
103080,D
103081,C
103082,D
103083,C
103084,D
103085,C
103086,B
103087,B
103088,A
103089,B
103090,B
103091,B
103092,A
103093,D
103094,D
103095,D
103096,D
103097,D
103098,B
103099,A
103100,C
103101,C
103102,D
103103,D
103104,A
103105,B
103106,A
103107,B
103108,D
103109,C
103110,B
103111,D
103112,A
